<s> Sue realized she was really bored . </s>	<s> She ate quickly and asked to be taken home . </s>
<s> Bob fell in love with a girl . </s>	<s> The girl broke up with Bob . </s>
<s> Eventually her friend told her she wasn 't having fun . </s>	<s> Sue apologized . </s>
<s> The company was called pizza man Bob . </s>	<s> He tried for a year to break into the market . </s>
<s> Bob was starting at a new school . </s>	<s> So far , the day had gone well . </s>
<s> Bob decided to take the day of work and go fishing . </s>	<s> He arrived at his favorite spot , only to find too many people there . </s>
<s> He noticed that his friend Bob was really popular with the girls . </s>	<s> Bobby asked himself what was different between him and Bob . </s>
<s> Suddenly , the screen went black . </s>	<s> Bob had no idea what to do or what happened . </s>
<s> His friends got upset and left . </s>	<s> Bob ' friends refused to play with him again . </s>
<s> He looked high and low , but could not find his keys . </s>	<s> Bob eventually found his keys in his coat pocket . </s>
<s> She followed the cute guy to his science class . </s>	<s> Sue sat behind him and stared at the cute guy . </s>
<s> His friends would tell him this was bad for the cat . </s>	<s> Bob refused to listen to his friends until his cat go sick . </s>
<s> After the cut Sue looked in the mirror . </s>	<s> Her hair was all cut off . </s>
<s> He asked his father to help him find one . </s>	<s> Bob ' father helped him find a car . </s>
<s> Sue decided to get a new haircut . </s>	<s> She made her hair real short . </s>
<s> One day he heard of a party at work . </s>	<s> Bob learned his new coworker had invited everyone but him . </s>
<s> They were told that there was a short wait . </s>	<s> Bob and the girl sat at the bar and watched some TV . </s>
<s> Bob was a trouble child with no friends . </s>	<s> All he wanted was a friend to play with . </s>
<s> Sue used to enjoy driving . </s>	<s> She had a job where she had to drive around the country . </s>
<s> I talked to my friend Bob 's wife today . </s>	<s> I asked for Bob but he was not home . </s>
<s> Sue was home alone one night . </s>	<s> There was a bad storm outside . </s>
<s> Sue wanted to go on a hike . </s>	<s> She drove her car to the top of the mountain . </s>
<s> All the milk was gone . </s>	<s> Bob was annoyed . </s>
<s> During his drive home he was stopped by a police officer . </s>	<s> Bob feared he 'd be arrested for speeding . </s>
<s> He decides to visit the park more often . </s>	<s> Bob is happy that he has visited his local park . </s>
<s> Bob decided to eat as much of the candy as he could . </s>	<s> He ended up getting sick . </s>
